epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,8.500824549841502,7.791557313881668,0.09803921568627451,0.7843137254901961,1e-05
1,8.037200140574623,7.307833232131659,0.29411764705882354,0.5882352941176471,0.0012580000000000002
2,7.111722855340867,6.547249745387657,1.0784313725490196,3.1372549019607843,0.0025060000000000004
3,6.395097808232383,5.967644375445796,0.29411764705882354,3.0392156937543082,0.003754000000000001
4,5.974158181084527,5.865357827205284,1.3725490196078431,5.000000007479799,0.005002
5,5.715081434401255,5.40760908500821,1.0784313725490196,7.450980392156863,0.006245717296108043
6,5.499387642693898,5.156769260705686,2.450980392156863,9.313725490196079,0.006243833526338349
7,5.4018387340364,5.0126465199040435,2.450980392156863,10.882352941176471,0.006241607741326431
8,5.290354509202261,4.962864316678514,2.6470588235294117,10.098039215686274,0.006239040185154702
9,5.2446525361802845,4.827255744560092,3.1372549019607843,14.411764705882353,0.006236131139384625
10,5.127601093716091,4.905297692616781,2.745098046695485,9.117647066303327,0.006232880923025854
11,5.062891067020477,4.640055132847206,4.705882352941177,15.294117647058824,0.0062292898925012385
12,4.982589691404312,4.555699466256534,5.392156862745098,18.333333348292932,0.006225358441607744
13,4.957651441059415,4.459155884911032,7.549019607843137,21.568627450980394,0.006221087001473262
14,4.879827802143399,4.395969478756774,6.2745098114013675,21.17647059571509,0.006216476040509339
15,4.812542347680955,4.27627124225392,8.431372549019608,26.96078431372549,0.006211526064359806
16,4.757537788814968,4.130769333184934,10.882352956136067,28.03921568627451,0.006206237615845329
17,4.663894093225872,4.069082167569329,10.686274509803921,31.470588250253716,0.006200611274903881
18,4.570702480891394,3.975504000981649,12.941176470588236,35.09803924560547,0.006194647658527153
19,4.460643408790467,3.900226947373035,14.019607850617053,35.88235294117647,0.006188347420692881
20,4.38783756135002,3.8196774164835614,15.196078446332146,37.941176485547835,0.006181711252293143
21,4.309722783073546,3.707646889780082,17.549019615322937,39.11764708874272,0.006174739881058586
22,4.220653348498875,3.5658218907374963,20.49019609339097,43.72549025591682,0.006167434071478626
23,4.1260195800236295,3.440195370655434,20.78431375540939,47.74509806913488,0.006159794624717613
24,4.069278932753063,3.4308855253107406,22.941176470588236,50.00000002991919,0.006151822378526972
25,3.9426797344571067,3.287291014428232,25.19607843137255,50.68627456964231,0.0061435182071533385
26,3.910005732188149,3.2274075152827244,26.764705912272134,53.33333336325253,0.006134883021242682
27,3.813199240063864,3.179083419313618,26.960784328685087,54.90196081423292,0.006125917767740447
28,3.7176160623156833,3.0225242661494836,31.568627480899586,58.13725490196079,0.0061166234297877105
29,3.647056397937593,2.919500839476492,31.862745157877605,59.70588238286037,0.006107001026613365
30,3.590191118300907,2.8903604226953843,32.549019607843135,60.09803927552466,0.0060970516134223555
31,3.5301213113088457,2.7787368821162803,35.490196078431374,62.549019637762335,0.006086776281279956
32,3.4317179293859574,2.722824602033578,35.68627450980392,63.72549019607843,0.006076176156992129
33,3.3643775743151467,2.608055446662155,39.31372555003447,64.11764711866192,0.006065252402981955
34,3.2803778724064903,2.544336251184052,41.1764705882353,65.39215692258348,0.006054006217162161
35,3.249947740918114,2.588174370223401,38.431372608858,65.19607849121094,0.0060424388328037554
36,3.128262550111801,2.4123850943995455,42.549019637762335,69.31372552011527,0.006030551518400786
37,3.0897501650310697,2.4263992828481338,42.94117650050743,69.90196084415211,0.006018345577531234
38,3.017096962247576,2.2919944043252984,45.3921568627451,71.96078437356388,0.006005822348714065
39,2.9790178821200417,2.2453564872928693,45.882353001014856,72.6470588833678,0.005992983205262441
40,2.9393172907450844,2.263936229313121,45.29411767697802,71.37254907944623,0.005979829555133128
41,2.857981871044825,2.1319244517999536,49.509803951487825,74.90196084415211,0.00596636284077209
42,2.81031440553211,2.126848289078357,49.90196081423292,75.39215692258348,0.005952584538956311
43,2.7382699648539224,2.0741415678286086,50.78431372549019,77.45098042207606,0.005938496160631856
44,2.667591102539547,2.0552493273043164,51.37254904952704,77.25490196078431,0.005924099250748166
45,2.7021430409143843,1.9853706897473802,51.960784373563875,77.74509803921569,0.005909395388088649
46,2.5653417129365224,1.9223500644459444,52.15686280493643,77.94117653042662,0.005894386185097546
47,2.655150943332248,1.9233097172250935,55.29411770689721,79.2156862745098,0.0058790732877031
48,2.611864405965048,1.859312239113976,55.39215692258349,79.90196078431373,0.0058634583751370735
49,2.5320862607350425,1.8362920471266204,56.568627480899586,79.90196078431373,0.005847543159750592
50,2.4795479168967596,1.7678873910623438,56.96078431372549,82.6470588235294,0.005831329386826371
51,2.3834799244290306,1.7040041411624236,58.92156862745098,83.23529417748544,0.005814818834387324
52,2.349571292362516,1.7217061765053694,59.01960790297564,83.23529417748544,0.005798013313001584
53,2.377101875486828,1.703362573595608,58.92156862745098,83.72549019607843,0.005780914665583951
54,2.3613105312226312,1.6739597163948359,60.490196078431374,85.0,0.005763524767193797
55,2.266773053577968,1.6483786730205312,61.17647061815449,84.90196078431373,0.00574584552482945
56,2.249898463960678,1.5524427554186653,63.921568687289366,85.88235294117646,0.005727878877219061
57,2.285539666811625,1.5548699860479318,63.23529414756625,85.78431378532858,0.005709626794608006
58,2.251312490493532,1.5322816640722985,63.8235294416839,85.49019607843137,0.005691091278542826
59,2.131170047654046,1.4813674369279075,65.0,87.54901960784314,0.005672274361651732
60,2.1187364033290317,1.483262111860163,65.68627453972312,85.88235294117646,0.005653178107421711
61,2.1052396316376942,1.5310186753086015,64.31372549019608,86.76470588235294,0.005633804609972233
62,2.1740490879331316,1.4445982788123337,65.7843137254902,88.0392157461129,0.005614155993825614
